Nome,Acquistato
GOSENS,1
BONUCCI,1
HERNANDEZ T,0
SMALLING,1
DE VRIJ,1
KOLAROV,0
MILENKOVIC,0
ACERBI,1
FARAONI,0
CRISCITO,1
MANOLAS,0
CALDERONI,0
DI LORENZO,0
CASTAGNE,0
TOLOI,0
GHIGLIONE,1
SKRINIAR,0
CHIELLINI,0
MANCINI G,0
IZZO,1
DARMIAN,0
DJIMSITI,0
BANI,0
DALBERT,0
D'AMBROSIO,0
GODIN,1
ROMAGNOLI A,0
IACOPONI,1
CISTANA,0
PISACANE,0
BRUNO ALVES,0
GAGLIOLO,0
TOLJAN,1
RRAHMANI,0
HATEBOER,0
DANILO LAR,0
SABELLI,1
CEPPITELLI,0
BIRAGHI,0
PEZZELLA GER,0
ASAMOAH,0
ALEX SANDRO,0
DE LIGT,0
PELLEGRINI LU,0
MAKSIMOVIC,0
SPINAZZOLA,0
DANILO,0
CACERES,0
KYRIAKOPOULOS,0
CHANCELLOR,0
ROMERO C,0
LUIZ FELIPE,0
RADU,0
LUCIONI,0
ROSSETTINI,1
DERMAKU,0
FLORENZI,1
COLLEY,1
MARLON,0
VICARI,0
STRYGER LARSEN,0
KUMBULLA,1
TOMIYASU,0
KLAVAN,0
KOULIBALY,0
MURRU,1
LIROLA,1
N'KOULOU,0
NUYTINCK,0
RODRIGO BECAO,0
TROOST-EKONG,1
MULDUR,0
PALOMINO,0
ROMAGNA,0
DEMIRAL,0
DEPAOLI,0
BONIFAZI,0
DE SILVESTRI,0
ANKERSEN,0
MASIELLO A,0
RECA,1
DENSWIL,0
PAZ,1
MARTELLA,0
MATEJU,0
CACCIATORE,0
PAJAC,0
ZAPATA C,0
BASTONI,0
LUKAKU J,1
PATRIC,0
CALABRIA,1
CONTI,0
MUSACCHIO,0
MALCUIT,0
FAZIO,0
BERESZYNSKI,0
FERRARI A,0
MURILLO,0
PELUSO,1
CIONEK,0
IGOR,0
AINA,0
BREMER,0
PEZZELLA GIU,1
SAMIR,1
GUNTER,0
RISPOLI,0
TOMOVIC,0
ARANA,0
MBAYE,0
LYKOGIANNIS,0
CECCHERINI,0
BARRECA,0
BIRASCHI,0
DE SCIGLIO,0
BASTOS,0
MECCARIELLO,1
RODRIGUEZ R,1
GHOULAM,0
LUPERTO,1
MARIO RUI,0
SANTON,0
AUGELLO,1
SALA,0
FERRARI G,0
FELIPE,1
LYANCO,0
DE MAIO,0
OPOKU,1
TER AVEST,0
VITALE L,0
DUARTE,0
KJAER,0
IBANEZ,0
OKOLI,0
CORBO,0
DIJKS,1
CURCIO,0
GASTALDELLO,0
MANGRAVITI,0
SEMPRINI,1
MATTIELLO,1
PINNA,0
WALUKIEWICZ,1
RANIERI L,1
RASMUSSEN,0
TERZIC,0
VENUTI,0
EL YAMIQ,0
DIMARCO,0
RANOCCHIA,0
RUGANI,0
CASASOLA,0
DURMISI,0
JORGE SILVA,0
VAVRO,1
BENZAR,1
FIAMOZZI,1
GALLO,0
RICCARDI D,0
VERA,1
CALDARA,0
GABBIA,0
CHIRICHES,1
HYSAJ,0
TONELLI,1
LAURINI,0
BIANDA,0
BOUAH,0
JUAN JESUS,0
CHABOT,0
REGINI,1
ADJAPONG,0
DELL'ORCO,0
GOLDANIGA,0
MAGNANI,0
ROGERIO,1
TRIPALDELLI,0
SALAMON,0
BUONGIORNO,0
DJIDJI,1
SIERRALTA,1
BOCCHETTI,0
CRESCENZI,0
DAWIDOWICZ,0
EMPEREUR,0
CIPRIANO,0
CETIN,1
ZAPPACOSTA,0
GASOLINA WESLEY,0
DONATI,0
